num_SKU,lamda,skillCost,GA_best_cost,holding_cost_min,utilization_rate,best_cost_record,machineCost,record_of_min,penalty_cost,var_level,GA_best_priority,GA_run_time
20,0,100,107753.58002995235,100,0.8,"[122113.46494964603, 110934.16631915265, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235]",10000,"[110934.16631915265, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235, 107753.58002995235]",24016.713956550924,0.05,"[13, 2, 7, 11, 16, 4, 9, 18, 3, 2, 11, 9, 13, 2, 14, 8, 12, 2, 12, 3]",279752.20374679565
10,0,100,147441.91702936828,100,0.8,"[156622.92363938343, 153654.25876952874, 149642.04285906145, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828]",10000,"[153654.25876952874, 149642.04285906145, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828, 147441.91702936828]",21257.233583186353,0.05,"[5, 7, 10, 2, 10, 1, 5, 7, 6, 9]",369714.3191509247
20,0,100,746089.3578556016,1,0.8,"[766563.5681894023, 756828.9428802131, 751612.5359813956, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016]",100000,"[756828.9428802131, 751612.5359813956, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016, 746089.3578556016]",16817.197139997286,0.05,"[9, 3, 16, 12, 5, 18, 5, 9, 11, 19, 13, 5, 6, 19, 18, 3, 11, 8, 8, 15]",469822.7034049034
10,0,100,973781.1894847708,1,0.8,"[1012221.8754359138, 1000376.218069678, 986562.9975319062, 975366.4310590514, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708]",100000,"[1000376.218069678, 986562.9975319062, 975366.4310590514, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708, 973781.1894847708]",11197.92354236123,0.05,"[3, 10, 8, 3, 3, 3, 1, 3, 1, 7]",279756.6126189232
20,0,100,98454.08101601238,1,0.8,"[127543.0590396277, 116274.36334409178, 110838.81879181755, 99665.72270408052, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238]",10000,"[116274.36334409178, 110838.81879181755, 99665.72270408052, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238, 98454.08101601238]",23745.960147704027,0.05,"[18, 2, 7, 4, 16, 4, 9, 18, 3, 9, 19, 15, 17, 10, 9, 17, 19, 9, 1, 10]",373375.91586995125
10,0,100,146798.7742207065,1,0.8,"[156504.53518156713, 156269.78831008036, 150230.77980195815, 148748.58968983157, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065]",10000,"[156269.78831008036, 150230.77980195815, 148748.58968983157, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065, 146798.7742207065]",31685.961815052666,0.05,"[2, 4, 7, 7, 3, 7, 4, 1, 5, 1]",473213.5863189697
10,0,100,103224.88652953022,100,0.8,"[113911.03876181986, 107805.30158233046, 107805.30158233046, 106689.25226994713, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022]",10000,"[107805.30158233046, 107805.30158233046, 106689.25226994713, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022, 103224.88652953022]",21743.13122789272,0.05,"[9, 9, 1, 1, 8, 3, 6, 1, 4, 5]",362321.792940855
