CaseID,FailureRates,ServiceRates,VNS_best_cost,VNS_best_priority,VNS_run_time,holding_cost_min,holding_costs,lamda,machineCost,num_SKU,penalty_cost,skillCost,utilization_rate,var_level,global_best_cost,global_best_priority,num_priority_class,num_assignment_class,used_server,min_server,Server_cost,EBH_cost,FCFS_cost,SPT_cost,H_rule_cost,HMU_rule_cost
Case: 0076,"[0.0071292742, 0.0561240911, 0.0139035388, 0.0761436908, 0.0086188667, 0.000911718, 0.0327223185, 0.0242668754, 0.1262556982, 0.0121466424, 0.0234781682, 0.0105215181, 0.0392734452, 0.0362727378, 0.0169432248, 0.1904491813, 0.1084840487, 0.1305433083, 0.0126528989, 0.0731587545]","[0.2142384179, 0.2021265007, 0.0308357824, 0.0641726763, 0.2538794366, 0.0020817239, 0.0305820727, 0.545132719, 0.5083446688, 0.0421436326, 0.0768096889, 0.1440376733, 0.0461850583, 0.075812505, 0.1091106367, 0.3650058381, 0.1271148893, 0.2791642786, 0.6238421288, 0.3608945548]",151026.7052055328,"[2, 2, 8, 9, 4, 16, 14, 5, 5, 5, 11, 14, 18, 8, 8, 6, 14, 16, 15, 10]",44025.4521610737,1,"[892.6236400399, 368.781173409, 202.893961714, 44.9407610333, 857.1194358385, 271.4442275183, 144.7310537187, 862.622460084, 308.2785023297, 295.1206696711, 289.2025272226, 739.1261627506, 109.4752517557, 196.4365593371, 443.5154531148, 187.1958586155, 149.570493527, 257.3998421522, 979.7594188549, 446.0960601785]",0,10000,20,13656.6280502631,100,0.8,0.05,151026.7052055328,"[2, 2, 8, 9, 4, 16, 14, 5, 5, 5, 11, 14, 18, 8, 8, 6, 14, 16, 15, 10]",12,1.6666666667,12,9,120000,31026.7052055328,880762.0233635961,304087.5031088453,3501722.813632723,4339672.246967464
Case: 0079,"[0.0235808113, 0.1690100322, 0.0289119209, 0.0444767111, 0.025685129, 0.0093994308, 0.0371960663, 0.0607859466, 0.0024732849, 0.0125914512, 0.0747317608, 0.0040667138, 0.0003965414, 0.0914345644, 0.0566130104, 0.0676020001, 0.0158162454, 0.0466986553, 0.0538596066, 0.1746701175]","[0.1158449896, 2.437429992, 0.0612431795, 0.7978686489, 0.2294730053, 0.0884873561, 0.1492249014, 0.0940452564, 0.0226135222, 0.0895753099, 1.5973110907, 0.0563567511, 0.0026885604, 0.3383823935, 1.7413725181, 0.7405411988, 0.0535122198, 0.1656423824, 0.3393155772, 0.3979649567]",144600.0323610143,"[16, 14, 18, 6, 16, 14, 14, 12, 17, 14, 2, 16, 16, 8, 5, 8, 15, 11, 8, 11]",77146.5950160027,100,"[327.5761316019, 688.2406769591, 224.0939480691, 778.5815143631, 508.4106867369, 565.2396685738, 344.0665253689, 196.3310482363, 558.4950689382, 463.7855217947, 817.6043116193, 701.1682201306, 411.6334137849, 272.0597428735, 965.7972069655, 591.8809141234, 248.0658410074, 260.4325815442, 373.7933207055, 257.3979750724]",0,10000,20,24016.7139565509,100,0.8,0.05,144600.0323610143,"[16, 14, 18, 6, 16, 14, 14, 12, 17, 14, 2, 16, 16, 8, 5, 8, 15, 11, 8, 11]",11,1.8181818182,8,5,80000,64600.0323610143,824964.0129979562,166097.2590219955,3326352.3944001626,4742902.822253675
Case: 0080,"[0.2807800677, 0.1189329704, 0.0389638263, 0.0761449661, 0.0283515326, 0.1235513681, 0.0633912264, 0.0264130295, 0.159832542, 0.0836384707]","[0.2972504865, 0.2704258412, 0.0508983021, 0.0626837627, 0.0809929104, 0.4084162091, 0.0529460397, 0.0173929605, 0.1764410952, 0.2316708004]",152332.3471862903,"[7, 4, 3, 3, 9, 2, 4, 8, 7, 7]",20746.5866479874,100,"[248.994879294, 568.8322578349, 266.2321002384, 211.2954260318, 739.4438342953, 1000.0, 204.3932152296, 202.6955733459, 250.8156331772, 695.8721571298]",0,10000,10,21257.2335831864,100,0.8,0.05,152332.3471862903,"[7, 4, 3, 3, 9, 2, 4, 8, 7, 7]",6,1.6666666667,11,9,110000,42332.3471862903,690602.1893796406,248216.500591761,2256503.6696146145,2839988.750510905
Case: 0117,"[0.0037586028, 0.0432682823, 0.0608441629, 0.0152182007, 0.0421895361, 0.1415001811, 0.0162212545, 0.0304102114, 0.0550380808, 0.0508502759, 0.0378271817, 0.0010835036, 0.0299867766, 0.0328943704, 0.0124515714, 0.0556315625, 0.0047193826, 0.0308772282, 0.1940495774, 0.1411800571]","[0.0050692724, 0.1155086709, 0.4674177301, 0.0343767641, 0.3842875286, 2.5735750982, 0.0260919936, 0.5465136012, 0.3498177542, 0.3010329195, 0.1153734456, 0.0260429847, 0.1457127316, 2.8930216041, 2.1661465201, 0.4062478353, 0.066090336, 0.1429431668, 2.2782302109, 3.458157831]",95586.352224756,"[14, 2, 2, 8, 14, 6, 11, 15, 4, 2, 18, 3, 3, 4, 10, 4, 15, 12, 1, 11]",44434.8614292145,1,"[63.1110860526, 126.9740781374, 390.1473087042, 195.2456584297, 441.3474109381, 603.8246370982, 85.3125385505, 574.3344297947, 336.7405808971, 338.196443116, 157.9603285123, 710.8437344195, 238.7948047764, 958.1199623258, 999.317492379, 422.6039590781, 578.4978504217, 241.6560583101, 462.0914267286, 726.7321797692]",0,10000,20,23745.960147704,100,0.8,0.05,95586.352224756,"[14, 2, 2, 8, 14, 6, 11, 15, 4, 2, 18, 3, 3, 4, 10, 4, 15, 12, 1, 11]",12,1.6666666667,7,5,70000,25586.352224756,1762111.4751283408,210537.8804611239,10749783.869908515,11357930.624786377
Case: 0118,"[0.1233768982, 0.0105030747, 0.042861476, 0.0488803635, 0.1457226597, 0.0761706992, 0.3945985198, 0.0669870534, 0.0435829932, 0.0473162623]","[0.439139001, 0.0085283697, 0.0164599755, 0.1193579844, 0.819951034, 0.0403968528, 1.185039805, 0.2905675808, 0.1965118698, 0.0756567252]",140496.7161074551,"[5, 6, 9, 7, 5, 9, 5, 8, 6, 8]",40711.18095994,1,"[728.2548055545, 171.5061763442, 97.192398827, 513.8437268352, 1000.0, 92.3503694965, 639.2067649643, 805.0460447428, 828.0335992654, 375.8212518145]",0,10000,10,31685.9618150527,100,0.8,0.05,140496.7161074551,"[5, 6, 9, 7, 5, 9, 5, 8, 6, 8]",5,2.0,12,9,120000,20496.7161074551,1901958.0277435258,228202.8873897177,12267859.006522328,17272392.32967656
Case: 0119,"[0.1494159733, 0.1757732829, 0.0011273602, 0.0124780051, 0.1485737238, 0.0762683085, 0.1299589325, 0.1316208232, 0.128882326, 0.0459012645]","[3.4032518463, 0.2332303287, 0.0025655873, 0.3683635103, 0.4076042865, 0.0649021087, 0.2758620145, 0.5542712609, 0.6900344343, 0.1560303361]",97545.0543286785,"[9, 3, 7, 4, 9, 8, 5, 6, 8, 6]",63660.8893508911,100,"[922.7515013921, 212.4580865204, 337.9176159809, 994.1032256049, 353.0497257417, 215.0556574889, 300.8128031853, 456.5594987608, 471.2711474047, 393.8576098853]",0,10000,10,21743.1312278927,100,0.8,0.05,97545.0543286785,"[9, 3, 7, 4, 9, 8, 5, 6, 8, 6]",7,1.4285714286,7,5,70000,27545.0543286785,2092867.6631152004,383212.9389999413,8026241.6177869635,10004111.214816745
Case: 0120,"[0.012193856, 0.2343739676, 0.0330494681, 0.0115664443, 0.0694551263, 0.0811617507, 0.123952122, 0.0903620187, 0.0495001847, 0.0295292287, 0.0365443518, 0.034157401, 0.0109257422, 0.0149820896, 0.0186536932, 0.0144839848, 0.0106170175, 0.07549639, 0.0132442133, 0.0357509497]","[0.2432066566, 0.2109014439, 0.0829747211, 0.1711288688, 0.0821096621, 0.3000193823, 0.3827623317, 0.0566970593, 9.2710150126, 0.04868517, 3.3565483464, 0.3144404664, 0.0450086525, 0.052657124, 0.0541097444, 0.0325387801, 0.0121285904, 0.5927151907, 0.0581044788, 0.6013625109]",171042.0869321546,"[1, 5, 15, 19, 16, 8, 18, 19, 13, 14, 6, 10, 16, 14, 2, 7, 19, 1, 12, 18]",67796.4947898388,100,"[783.1899224687, 251.718485539, 346.204937996, 748.2532842902, 229.025018463, 417.8730016089, 396.1344942441, 138.9294885942, 1000.0, 318.6159921317, 994.0967039017, 647.5141773753, 470.9660660022, 458.4220440968, 370.4120650433, 306.2626157897, 282.2846375136, 649.2514960414, 500.4677758667, 803.1562978739]",0,10000,20,21409.4899098416,100,0.8,0.05,171042.0869321546,"[1, 5, 15, 19, 16, 8, 18, 19, 13, 14, 6, 10, 16, 14, 2, 7, 19, 1, 12, 18]",14,1.4285714286,11,8,110000,61042.0869321546,2891252.9746114775,599445.6291908737,28208226.38425517,31485350.561920367
Case: 0022,"[0.2009898792, 0.0652215678, 0.0244396959, 0.0115858743, 0.0719372244, 0.0355363935, 0.0010729391, 0.0392758319, 0.041415522, 0.0005455345, 0.0183291707, 0.0152808981, 0.0489932888, 0.0081972638, 0.0322797723, 0.2100093048, 0.0003268864, 0.0095112791, 0.1155845556, 0.0494671179]","[0.225839448, 0.2943428809, 0.1478742936, 0.0453223659, 0.2406652789, 0.4648117252, 0.0068042968, 0.5843727797, 0.1708971084, 0.0119767501, 0.174735313, 0.3516055233, 0.5561687084, 0.095786589, 0.3948046933, 0.7028437142, 0.0007485877, 0.292271128, 0.4530609432, 0.3244334385]",741498.3371589546,"[8, 13, 6, 16, 5, 18, 19, 16, 4, 8, 10, 3, 9, 17, 16, 4, 12, 13, 5, 4]",100532.2226989269,1,"[58.1181147211, 297.2827716874, 396.958959777, 243.9478453847, 265.4492021914, 679.7128550628, 438.787568333, 745.6299780151, 315.1341513692, 836.7942107869, 575.1019205962, 933.5650696682, 615.4014727583, 602.2653226119, 671.614896005, 253.3493207358, 168.9132156875, 985.6688726941, 328.4024182069, 486.4522193973]",0,100000,20,16817.1971399973,100,0.8,0.05,741498.3371589546,"[8, 13, 6, 16, 5, 18, 19, 16, 4, 8, 10, 3, 9, 17, 16, 4, 12, 13, 5, 4]",13,1.5384615385,7,4,700000,41498.3371589546,6062310.910774405,5017640.275948735,25531214.3822115,31057302.516483992
Case: 0023,"[0.168240523, 0.0171394574, 0.0393325924, 0.0726729623, 0.3969588279, 0.0331923913, 0.123470684, 0.011203639, 0.0574736979, 0.0803152249]","[0.1050838185, 0.043213282, 0.0535010876, 0.1366538682, 0.1631623436, 0.2396418894, 0.1306669977, 6.6724162212, 0.2114963356, 0.084934209]",972521.0555333596,"[5, 7, 6, 4, 2, 5, 4, 2, 2, 6]",48134.9911398888,1,"[154.411442894, 416.0353635603, 240.3799922711, 313.4953375977, 136.0802232676, 687.63266233, 215.733475111, 958.9633622796, 522.0438349208, 179.1109777876]",0,100000,10,11197.9235423612,100,0.8,0.05,972521.0555333596,"[5, 7, 6, 4, 2, 5, 4, 2, 2, 6]",5,2.0,9,8,900000,72521.0555333596,1737949.328776293,1344034.0742649755,5715130.945206443,5558959.774844242
Case: 0029,"[0.0134294318, 0.2266981125, 0.0362319998, 0.1260566479, 0.0885987514, 0.0043806281, 0.175002553, 0.1666190069, 0.0025706795, 0.1604121891]","[0.0441674538, 1.6944103603, 0.0294698249, 0.3775417808, 10.0872536148, 0.034907084, 0.7071847773, 0.2232867548, 0.0043103107, 0.5844902435]",651073.429219388,"[3, 2, 8, 4, 3, 9, 5, 7, 3, 5]",17976.5067749023,100,"[345.7094833417, 552.9328739298, 198.8730239406, 397.089734937, 975.0095607847, 615.2161197684, 422.8250082404, 252.490946075, 299.1042333094, 434.028292553]",0,100000,10,23139.5063997565,100,0.8,0.05,651073.429219388,"[3, 2, 8, 4, 3, 9, 5, 7, 3, 5]",7,1.4285714286,6,5,600000,51073.4292193881,2560475.33542939,722347.3386184466,8659784.133057926,9998380.680098178
Case: 0032,"[0.1433461737, 0.1087591069, 0.0786182226, 0.0651708326, 0.0581346024, 0.1054791173, 0.0174522395, 0.0272151778, 0.0531287756, 0.0060159264, 0.0015807952, 0.0085681999, 0.0092350157, 0.0509177391, 0.0279057872, 0.0358933736, 0.0456179525, 0.0900783883, 0.011037964, 0.0558446097]","[3.0141628803, 28.9411890758, 0.143528424, 0.0591429909, 0.3744948561, 0.4287118375, 0.1683880904, 0.0597392485, 0.6603458625, 0.0461055643, 0.0280603358, 0.0208646621, 0.0134796732, 0.2441884367, 0.0677184239, 2.4903076425, 0.0719976549, 0.1683753249, 0.0436199047, 0.0291033311]",1111003.612289331,"[4, 4, 12, 6, 16, 6, 16, 18, 2, 18, 11, 15, 18, 3, 9, 2, 5, 13, 6, 19]",42265.6797640324,100,"[820.6858122826, 995.469671898, 364.3110048393, 243.6650804131, 591.4420963225, 521.1232570328, 715.6967049145, 373.5973734488, 724.0507558941, 678.2240231403, 800.4169957758, 391.8973263358, 303.4077720443, 584.4094992678, 374.9337402797, 998.7349326457, 344.9518405873, 313.9430939917, 476.7665638938, 167.8472362929]",0,100000,20,28356.549203413,100,0.8,0.05,1111003.612289331,"[4, 4, 12, 6, 16, 6, 16, 18, 2, 18, 11, 15, 18, 3, 9, 2, 5, 13, 6, 19]",13,1.5384615385,9,8,900000,211003.6122893309,4632940.872650047,1348328.3794944694,44194762.20766981,45260017.98606877
Case: 0034,"[0.0390619486, 0.3157155163, 0.0089086016, 0.0186398359, 0.0127392322, 0.1209360012, 0.2164097266, 0.0082473806, 0.073369643, 0.1859721139]","[0.0448978567, 0.289855032, 0.0181863776, 0.2292024195, 0.0091438353, 0.1255544182, 1.8729537008, 0.0457913985, 0.0318099603, 0.3639257937]",1011644.4117786443,"[6, 2, 9, 5, 9, 3, 2, 5, 6, 3]",57067.7263650894,100,"[336.9120916526, 229.3896361174, 422.1960323908, 984.408237368, 251.3230418625, 327.1095565647, 903.8316889068, 762.2833966982, 203.0660671106, 395.5945704428]",0,100000,10,22040.3466075055,100,0.8,0.05,1011644.4117786443,"[6, 2, 9, 5, 9, 3, 2, 5, 6, 3]",5,2.0,9,8,900000,111644.4117786443,3675308.135101614,1089007.4535358367,18548504.30594755,21235542.232623983
Case: 0035,"[0.0128503258, 0.0515828826, 0.0874686217, 0.0544424762, 0.1213628527, 0.0453969721, 0.0242527433, 0.0477977788, 0.0004365071, 0.0151157915, 0.005630389, 0.0734008932, 0.0689451574, 0.08886716, 0.0331670071, 0.028334443, 0.0272083318, 0.051321321, 0.1092218865, 0.0531964591]","[0.2561955734, 0.748568443, 0.2860812191, 0.0574812448, 0.6990173123, 0.5624202625, 0.0670929502, 0.1290207118, 0.0393363526, 0.0226434943, 1.0756725442, 0.6187333758, 0.5180256989, 2.0536562002, 2.646735817, 1.2945792923, 0.3169483271, 0.1650582781, 3.2036045631, 0.2692107821]",749550.4412641325,"[8, 12, 10, 14, 15, 11, 19, 15, 12, 11, 9, 15, 13, 19, 18, 12, 17, 13, 7, 2]",60791.0510411263,100,"[741.3802615399, 674.3235811966, 316.7712017512, 171.5417729484, 443.2406735168, 660.7200451523, 317.2219087352, 278.7018908144, 961.4900342462, 234.8731176442, 988.5259863959, 507.4386877026, 482.4039616313, 796.2178609197, 981.0015832309, 865.57640268, 638.9700591471, 313.2829133445, 780.1591669761, 415.42765076]",0,100000,20,26739.7311264038,100,0.8,0.05,749550.4412641325,"[8, 12, 10, 14, 15, 11, 19, 15, 12, 11, 9, 15, 13, 19, 18, 12, 17, 13, 7, 2]",13,1.5384615385,7,5,700000,49550.4412641325,964044.3888756945,587712.4443277213,3444556.5368383583,3720968.508220301
Case: 0041,"[0.1429064553, 0.0075056595, 0.0007144804, 0.0542785562, 0.0333570314, 0.0301547598, 0.0681934645, 0.1497972779, 0.0218561134, 0.0005198167, 0.0208312706, 0.0357738718, 0.0181280368, 0.1238052981, 0.0105187662, 0.0527579764, 0.079121754, 0.0216548285, 0.0219712996, 0.1061532828]","[0.1243527357, 0.0999032412, 0.0027903693, 0.8657946038, 0.3584720407, 0.0632422174, 0.2679887838, 0.2828974628, 0.0220271823, 0.1595190179, 0.4553909838, 0.1436496367, 0.1104972653, 0.1783312296, 0.017692702, 0.126031992, 0.0507910364, 0.3775249048, 0.3734128663, 0.3970042332]",1028644.9051658346,"[12, 15, 17, 6, 9, 10, 5, 5, 18, 4, 15, 6, 12, 3, 17, 5, 15, 14, 13, 4]",69296.4569950104,1,"[94.3631252362, 746.1413116014, 426.5747330094, 776.6239874065, 613.9336770314, 236.3965523336, 375.1825976453, 233.9512002879, 165.8865326159, 951.2928758039, 787.3691560493, 387.8136526804, 531.2583048977, 225.7544607057, 209.8932532463, 306.2851592883, 83.2183847769, 806.8511675491, 711.0378639389, 367.2325516545]",0,100000,20,15939.3303079805,100,0.8,0.05,1028644.9051658346,"[12, 15, 17, 6, 9, 10, 5, 5, 18, 4, 15, 6, 12, 3, 17, 5, 15, 14, 13, 4]",12,1.6666666667,10,9,1000000,28644.9051658346,1482621.1944882083,1090173.5698804457,4016497.336915876,5030575.210776272
Case: 0044,"[0.1670189729, 0.0479541387, 0.0107638911, 0.0555866107, 0.0069127501, 0.1252386606, 0.3490561778, 0.0542398533, 0.1405871675, 0.0426417774]","[0.3083352063, 1.62155421, 0.080719699, 0.0748869886, 0.027821259, 0.6426471903, 1.3025848533, 0.0450985463, 0.5549690659, 0.1105330729]",539099.857801372,"[5, 5, 8, 7, 5, 5, 5, 2, 5, 5]",25102.269051075,1,"[160.9546493812, 1000.0, 600.3662316892, 189.8343547812, 353.9432134775, 391.7245782948, 331.6360821416, 103.3674713655, 405.4565266049, 212.9433366873]",0,100000,10,16540.2726617584,100,0.8,0.05,539099.857801372,"[5, 5, 8, 7, 5, 5, 5, 2, 5, 5]",4,2.5,6,5,600000,93205.3277845028,804735.0124514296,567466.0001164291,1436710.071778379,2008601.7485628834
Case: 0075,"[0.0806287804, 0.0458640595, 0.2156531493, 0.010481677, 0.0103445864, 0.1959812139, 0.1459854014, 0.0661440157, 0.0546540226, 0.1742630939]","[0.9032669049, 25.3044329935, 0.2869269319, 0.0092677216, 0.0223448693, 0.2800995042, 0.8245979028, 0.7897835359, 0.1879236345, 0.558381563]",88824.7858357935,"[5, 9, 5, 3, 8, 7, 9, 7, 7, 3]",25566.8532571793,1,"[544.1531119781, 976.1759363797, 175.6647528517, 91.4211660278, 186.1881262472, 144.1709314313, 454.3266368804, 619.6690976656, 325.1427846382, 255.1361439525]",0,10000,10,16360.5582213668,100,0.8,0.05,88824.7858357935,"[5, 9, 5, 3, 8, 7, 9, 7, 7, 3]",5,2.0,8,4,80000,11563.0370573611,3029021.142510083,605938.1918170403,26493533.93139632,25627535.235013384
